m		X	Y	Phi		X	Y	Phi	move	ang	R	xC	yC
	S	3.3999999999999995	1.0	212.77908066806958	F	5.031446561721154	1.745829298607128	196.3567234827912	-1.8	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	5.127619415101066	1.7732258490207604	195.44437030583128	-1.9000000000000001	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	5.224216308312156	1.7990875760273957	194.53201712887142	-2.0	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	5.321212748765445	1.823407922266556	193.6196639519115	-2.1	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	5.418584142564895	1.846180721201982	192.70731077495157	-2.2	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	5.516305800743316	1.8674001986851918	191.79495759799167	-2.3000000000000003	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	5.614352945522368	1.8870609744195423	190.88260442103171	-2.4000000000000004	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	5.712700716595075	1.905158063324424	189.97025124407185	-2.5	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	5.811324177429276	1.9216868767992548	189.05789806711192	-2.6	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	5.910198321590392	1.9366432238869429	188.145544890152	-2.7	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	6.009298079081934	1.9500233123365183	187.2331917131921	-2.8000000000000003	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	6.108598322702103	1.9618237495646786	186.3208385362322	-2.9000000000000004	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	6.208073874414921	1.972041543515993	185.40848535927228	-3.0	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	6.307699511734224	1.9806741034215545	184.49613218231238	-3.1	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	6.40744997411896	1.9877192404558768	183.58377900535248	-3.2	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	6.507299969378093	1.9931751682918861	182.67142582839256	-3.3000000000000003	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	3.3999999999999995	1.0	212.77908066806958	F	6.607224180083575	1.9970405035538485	181.75907265143263	-3.4000000000000004	-114.64968152866243	6.279999999999999	6.8	-4.279999999999999
	S	6.8	2.0	180.0	F	6.7	2.0	180.0	0.1	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	6.6	2.0	180.0	0.2	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	6.5	2.0	180.0	0.30000000000000004	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	6.3999999999999995	2.0	180.0	0.4	0.0	-1.0	0.0	0.0
	S	6.8	2.0	180.0	F	6.3	2.0	180.0	0.5	0.0	-1.0	0.0	0.0
