y\x	3.5	3.565	3.63	3.695	3.76	3.825	3.89	3.955	4.02	4.085	4.15	4.215	4.28	4.345	4.41	4.475	4.54	4.605	4.67	4.735	4.8	4.865	4.93	4.995	5.0600000000000005	5.125	5.1899999999999995	5.255	5.32	5.385	5.45	5.515000000000001	5.58	5.645	5.71	5.775	5.84	5.904999999999999	5.970000000000001	6.035	6.1	6.165	6.23	6.295	6.359999999999999	6.425	6.49	6.555	6.62	6.6850000000000005	6.75	6.8149999999999995	6.88	6.945	7.01	7.075	7.140000000000001	7.205	7.27	7.335	7.4	7.465	7.53	7.595	7.66	7.725	7.79	7.855	7.92	7.985	8.05	8.115	8.18	8.245000000000001	8.309999999999999	8.375	8.440000000000001	8.504999999999999	8.57	8.635	8.7	8.765	8.83	8.895	8.96	9.025	9.09	9.155000000000001	9.219999999999999	9.285	9.35	9.415	9.48	9.545	9.61	9.675	9.74	9.805	9.870000000000001	9.934999999999999	10.0
1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
2.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	5	5	5	5	5	5	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9	9	7	6	6	6	6	5	5	5	5	5	5	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
3.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10	10	10	9	9	9	9	7	7	6	6	6	5	5	5	5	5	5	5	5	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	13	13	11	10	10	9	9	9	9	8	7	7	7	6	6	6	5	5	5	5	5	5	5	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
4.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	14	14	13	13	13	11	10	10	10	9	9	9	9	7	7	7	7	6	6	6	5	5	5	5	5	5	5	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
4.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	17	17	15	14	14	13	13	13	11	10	10	10	9	9	9	9	7	7	7	7	7	6	6	5	5	5	5	5	5	5	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
5.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	21	19	18	17	17	17	14	14	13	13	13	11	11	10	10	9	9	9	9	9	8	7	7	7	7	6	6	5	5	5	5	5	5	5	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3
5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	22	22	21	19	18	17	17	17	15	14	13	13	13	13	11	11	10	10	9	9	9	9	8	7	7	7	7	7	6	6	5	5	5	5	5	5	5	4	4	3	3	3	3	3	3	3	3	3	3	3
5.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	25	25	22	21	21	19	18	17	17	17	15	14	14	13	13	13	11	11	11	10	9	9	9	9	9	8	7	7	7	7	7	6	6	5	5	5	5	5	5	4	4	3	3	3	3	3	3	3	3	3
6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	29	26	25	25	22	21	21	19	18	17	17	17	15	14	14	13	13	13	11	11	11	10	10	9	9	9	9	8	7	7	7	7	7	6	6	5	5	5	5	5	5	4	3	3	3	3	3	3	3	3
6.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	30	29	26	26	25	23	22	21	21	19	18	17	17	16	15	14	14	13	13	13	11	11	11	10	10	9	9	9	9	8	8	7	7	7	7	7	6	5	5	5	5	5	4	4	3	3	3	3	3	3
7.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	33	30	29	29	26	25	25	22	21	21	19	18	18	17	17	15	15	14	14	13	13	13	11	11	11	10	10	9	9	9	9	8	8	7	7	7	7	7	6	5	5	5	5	4	3	3	3	3	3	3
